Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass,Partmass
Ferous metals,Steel,kg,Cradle,41.17535629,chassis,Steel,Utilitycars,29.93709642,0.02430658576
Ferous metals,Steel,kg,Driveshaft/axle,101.6906526,chassis,Steel,Utilitycars,73.93555631,0.06002990121
Ferous metals,Steel,kg,Corner suspension,56.14821312,chassis,Steel,Utilitycars,40.8233133,0.03314534422
Ferous metals,Steel,kg,Steering system,24.45566615,chassis,Steel,Utilitycars,17.7808209,0.01443663881
Non-ferrous metals,Wrought Aluminium,kg,Steering system,4.585437405,chassis,Aluminium,Utilitycars,3.33390392,0.002706869779
Polymers,Rubber,kg,Steering system,1.528479136,chassis,Rubber,Utilitycars,1.111301307,0.0009022899265
Non-ferrous metals,Copper,kg,Chassis electrical,5.627298692,chassis,Copper,Utilitycars,4.091403177,0.003321900054
Polymers,Plastic,kg,Chassis electrical,8.09782007,chassis,Plastic,Utilitycars,5.887628963,0.004780295201
Ferous metals,Steel,kg,Weld blanks and fasteners (chassis to body),13.72511876,chassis,Steel,Utilitycars,9.97903214,0.008102195255
Ferous metals,galv steel,kg,Body-in-white,290.5094905,doors,Steel,Utilitycars,211.2188312,0.1714932057
Scrap,"Scrap, galv steel",kg,Body-in-white,61.03790921,doors,Steel,Utilitycars,44.37843259,0.03603182362
Ferous metals,Rolled steel,kg,Body panels,26.29389577,doors,Steel,Utilitycars,19.11733046,0.01552178027
Ferous metals,EAF steel,kg,Body panels,14.18940817,doors,Steel,Utilitycars,10.3166,0.008376274011
Ferous metals,galv steel,kg,Body panels,6.296699452,doors,Steel,Utilitycars,4.5781,0.003717059889
Ferous metals,hot rolled steel,kg,Body panels,46.0143176,doors,Steel,Utilitycars,33.45532831,0.02716311547
Scrap,"Scrap, Rolled steel",kg,Body panels,5.524516326,doors,Steel,Utilitycars,4.016673876,0.003261225694
Scrap,"Scrap, EAF steel",kg,Body panels,2.981285762,doors,Steel,Utilitycars,2.167583899,0.001759908951
Scrap,"Scrap, galv steel",kg,Body panels,1.322976983,doors,Steel,Utilitycars,0.961888204,0.0007809781483
Scrap,"Scrap, hot rolled steel",kg,Body panels,9.667903571,doors,Steel,Utilitycars,7.029179283,0.005707144965
Ferous metals,galv steel,kg,Bumpers,11.59929034,doors,Steel,Utilitycars,8.43342,0.006847278829
Scrap,"Scrap, galv steel",kg,Bumpers,2.437085375,doors,Steel,Utilitycars,1.77191569,0.001438657246
Ferous metals,EAF steel,kg,Body hardware,0.5052103804,doors,Steel,Utilitycars,0.36732,0.0002982351714
Ferous metals,stainless steel,kg,Body hardware,0.1095578996,doors,Steel,Utilitycars,0.079655544,0.00006467408478
Non-ferrous metals,Copper,kg,Body hardware,0.2745023755,doors,Copper,Utilitycars,0.199580643,0.0001620439053
Glass,Glass,kg,Body hardware,0.08235071279,doors,Glass,Utilitycars,0.059874193,0.00004861317166
Polymers,Plastic,kg,Body hardware,8.459626141,doors,Plastic,Utilitycars,6.150684932,0.004993876117
Polymers,Rubber,kg,Body hardware,0.3156777312,doors,Rubber,Utilitycars,0.229517739,0.0001863504907
Scrap,"Scrap, EAF steel",kg,Body hardware,0.1061479441,doors,Steel,Utilitycars,0.07717629,0.00006266112403
Scrap,"Scrap, stainless steel",kg,Body hardware,0.02301881782,doors,Steel,Utilitycars,0.016736141,0.00001358844027
Scrap,"Scrap, glass",kg,Body hardware,0.004334247607,doors,Glass,Utilitycars,0.003151273,0.000002558587726
