Material Group,Material/Component,Unit,Component,Unitmass,Part,Material,Class,Hawkinsmass
Polymers,Polypropylene (PP),kg,Brake Fluid Tank,5.115108E-05,interior,Polypropylene,Utilitycars,0.063
Polymers,"Polypropylene, 20% Talc (PP-TD20)",kg,Wheel Arc Finisher,1.271470E-03,interior,Polypropylene,Utilitycars,1.566
Polymers,Polypropylene (PP),kg,Load Space Finishers (2),1.375396E-03,interior,Polypropylene,Utilitycars,1.694
Polymers,Polypropylene ether (PE),kg,Latch Finisher,2.557554E-04,interior,Polypropylene,Utilitycars,0.315
Polymers,Polypropylene (PP),kg,Latch Finisher,2.557554E-04,interior,Polypropylene,Utilitycars,0.315
Polymers,Polypropylene ether (PE),kg,Tool Box,1.250360E-04,interior,Polypropylene,Utilitycars,0.154
Ferous metals,Steel,kg,"Brakes, hardware",8.601985E-03,brakes,Steel,Utilitycars,10.594596
Ferous metals,Cast iron,kg,"Brakes, hardware",1.474626E-02,brakes,Iron,Utilitycars,18.16216457
Friction Materials,Barium Sulfate,kg,"Brakes, friction material",1.071737E-11,brakes,Barium sulphate,Utilitycars,1.32E-08
Friction Materials,Brass,kg,"Brakes, friction material",1.071737E-12,brakes,Brass,Utilitycars,1.32E-09
Friction Materials,Aluminum Oxide,kg,"Brakes, friction material",1.071737E-11,brakes,Aluminium,Utilitycars,1.32E-08
Friction Materials,Fibrous Glass,kg,"Brakes, friction material",1.071737E-11,brakes,Glassfibre,Utilitycars,1.32E-08
Friction Materials,Phenol Formaldehyde Resin,kg,"Brakes, friction material",5.358685E-12,brakes,Resin,Utilitycars,6.60E-09
Friction Materials,Silica sand,kg,"Brakes, friction material",6.144275E-04,brakes,Silica,Utilitycars,0.756756834
Friction Materials,Ceramic,kg,"Brakes, friction material",1.228855E-03,brakes,Ceramic,Utilitycars,1.513513667
Ferous metals,Steel,kg,Cradle,2.430659E-02,chassis,Steel,Utilitycars,29.93709642
Ferous metals,Steel,kg,Driveshaft/axle,6.002990E-02,chassis,Steel,Utilitycars,73.93555631
Ferous metals,Steel,kg,Corner suspension,3.314534E-02,chassis,Steel,Utilitycars,40.8233133
Ferous metals,Steel,kg,Steering system,1.443664E-02,chassis,Steel,Utilitycars,17.7808209
Non-ferrous metals,Wrought Aluminium,kg,Steering system,2.706870E-03,chassis,Aluminium,Utilitycars,3.33390392
Polymers,Rubber,kg,Steering system,9.022899E-04,chassis,Rubber,Utilitycars,1.111301307
Non-ferrous metals,Copper,kg,Chassis electrical,3.321900E-03,chassis,Copper,Utilitycars,4.091403177
Polymers,Plastic,kg,Chassis electrical,4.780295E-03,chassis,Plastic,Utilitycars,5.887628963
Ferous metals,Steel,kg,Weld blanks and fasteners (chassis to body),8.102195E-03,chassis,Steel,Utilitycars,9.97903214
Ferous metals,galv steel,kg,Body-in-white,1.714932E-01,doors,Steel,Utilitycars,211.2188312
Scrap,"Scrap, galv steel",kg,Body-in-white,3.603182E-02,doors,Steel,Utilitycars,44.37843259
