Flowid,Ecoinvent Flow,Partmass,Unit,Part,Material,Unitmass
[G13883],"polyester resin, unsaturated_market for polyester resin, unsaturated[GLO]",0.00208,kilogram,EV electric motor,Polyester,0.1872163097
[G14870],"polystyrene, high impact_market for polystyrene, high impact[GLO]",0.000953,kilogram,EV electric motor,Polystyrene,0.08577747266
[G1513],"anode, for metal electrolysis_market for anode, for metal electrolysis[GLO]",0.448,kilogram,Permanent magnet,,
[G3339],pig iron_market for pig iron[GLO],2.11,kilogram,Permanent magnet,Iron,0.2114546762
[G4985],"cathode, for aluminium electrolysis_market for cathode, for aluminium electrolysis[GLO]",0.0181,kilogram,Permanent magnet,,
[G5222],neodymium oxide_market for neodymium oxide[GLO],0.908,kilogram,Permanent magnet,Neodymium Oxide,0.0909956616
[G9088],boric oxide_market for boric oxide[GLO],0.0934,kilogram,Permanent magnet,Boric Oxide,0.009360126425
[G10551],cryolite_market for cryolite[GLO],0.0016,kilogram,Permanent magnet,Cryolite,0.0001603447782
[G9173],"aluminium, wrought alloy_market for aluminium, wrought alloy[GLO]",0.393,kilogram,Cathode,Aluminium,0.000712862819
[G14004],lithium manganese oxide_market for lithium manganese oxide[GLO],0.623,kilogram,Cathode,LiMn2O4,0.001130059889
[G1987],"graphite, battery grade_market for graphite, battery grade[GLO]",0.494,kilogram,Anode,Graphite,0.02217888971
[G5949],copper_market for copper[GLO],0.524,kilogram,Anode,Copper,0.02352578585
