VlootboekType,Perioden,VlootboekCat,VlootboekNaam,Waarde,Vehiclelifetime,GTavg,kWavg,Flow,VlootboekType,EUtype,GT/LDT,VehicleAvgWeight,GTsum,LTsum,KWsum,VehicleWsum,Class
zware,1996,HV,Zware lading schip,7,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,64069,101,40829,171064494,Seavessels
zware,1995,HV,Zware lading schip,7,14,9153,5833,stock,Handelsvaart,Specialised cargo,2.67,24437785,64069,101,40829,171064494,Seavessels
zuiger,2019,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2018,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2017,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2016,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2015,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2014,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2013,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2012,WB,Zuiger schip,,,,,stock,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2011,WB,Zuiger schip,8,45,834,902,stock,Waterbouw,Offshore ship,2.96,2468640,6672,360,7216,19749120,Seavessels
zuiger,2010,WB,Zuiger schip,8,44,834,902,stock,Waterbouw,Offshore ship,2.96,2468640,6672,352,7216,19749120,Seavessels
zuiger,2009,WB,Zuiger schip,8,43,834,902,stock,Waterbouw,Offshore ship,2.96,2468640,6672,344,7216,19749120,Seavessels
zuiger,2009,WB,Zuiger schip,1,-,148,,in,Waterbouw,Offshore ship,2.96,438080,148,,,438080,Seavessels
zuiger,2008,WB,Zuiger schip,7,45,916,925,stock,Waterbouw,Offshore ship,2.96,2711360,6412,315,6475,18979520,Seavessels
zuiger,2008,WB,Zuiger schip,3,-,0,,out,Waterbouw,Offshore ship,2.96,,,,,,Seavessels
zuiger,2007,WB,Zuiger schip,14,35,708,550,stock,Waterbouw,Offshore ship,2.96,2095680,9912,490,7700,29339520,Seavessels
zuiger,2006,WB,Zuiger schip,19,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,15344,786,15125,45416924,Seavessels
zuiger,2005,WB,Zuiger schip,21,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,16959,868,16717,50197653,Seavessels
zuiger,2004,WB,Zuiger schip,21,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,16959,868,16717,50197653,Seavessels
zuiger,2003,WB,Zuiger schip,22,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,17766,910,17513,52588018,Seavessels
zuiger,2002,WB,Zuiger schip,24,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,19381,993,19106,57368747,Seavessels
zuiger,2001,WB,Zuiger schip,24,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,19381,993,19106,57368747,Seavessels
zuiger,2000,WB,Zuiger schip,24,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,19381,993,19106,57368747,Seavessels
zuiger,1999,WB,Zuiger schip,23,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,18574,951,18310,54978382,Seavessels
zuiger,1998,WB,Zuiger schip,18,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,14536,744,14329,43026560,Seavessels
zuiger,1997,WB,Zuiger schip,19,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,15344,786,15125,45416924,Seavessels
zuiger,1996,WB,Zuiger schip,18,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,14536,744,14329,43026560,Seavessels
zuiger,1995,WB,Zuiger schip,16,41,808,796,stock,Waterbouw,Offshore ship,2.96,2390364,12921,662,12737,38245831,Seavessels
werkschip,2019,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
werkschip,2018,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
werkschip,2017,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
werkschip,2016,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
werkschip,2015,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
werkschip,2014,ZSV,Werk schip,,,,,stock,Zeesleepvaart,Service ships,1.6,,,,,,Seavessels
