Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Nonferrous metals,Copper,1.3508E-03,icev,Cars,Chassis,Controller/inverter,8.2%
Polymers,Rubber,6.0952E-04,icev,Cars,Chassis,Controller/inverter,3.7%
Polymers,Plastic,3.9207E-03,icev,Cars,Chassis,Controller/inverter,23.8%
Organic,Organic,2.0262E-03,icev,Cars,Chassis,Controller/inverter,12.3%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),36.8%
Composites,Carbon Fiber Composite,0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),25.7%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),16.7%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),9.6%
Polymers,Plastic,0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),8.7%
Polymers,Rubber,0.0000E+00,icev,Cars,Chassis,Fuel cell auxiliaries (includes H2 fuel storage),1.5%
Nonferrous metals,Lead,7.5778E-03,icev,Cars,Battery,Pb-Ac Battery,69%
Organic,Water,1.5485E-03,icev,Cars,Battery,Pb-Ac Battery,14.1%
Chemicals,Sulfuric Acid,8.6760E-04,icev,Cars,Battery,Pb-Ac Battery,7.9%
Polymers,Plastic,6.6992E-04,icev,Cars,Battery,Pb-Ac Battery,6.1%
Composites,Fiberglass,2.3063E-04,icev,Cars,Battery,Pb-Ac Battery,2.1%
Other,Other,8.7858E-05,icev,Cars,Battery,Pb-Ac Battery,0.8%
Nonferrous metals,Nickel,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,28.2%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,23.7%
Polymers,Plastic,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,22.5%
Ferrous metals,Iron,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,12%
"Critical Raw Materials, CRM",Rare Earth Metals,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,6.3%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,3.9%
"Critical Raw Materials, CRM",Cobalt,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,1.8%
"Critical Raw Materials, CRM",Magnesium,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,1%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Battery,Ni-MH Battery,0.5%
Polymers,Rubber,0.0000E+00,icev,Cars,Battery,Ni-MH Battery,0.1%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,27.0%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,23.7%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,13.2%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,12.2%
Polymers,Plastic,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,4.5%
Polymers,Ethylene Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,4.4%
Polymers,Dimethyl Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,4.4%
Ferrous metals,Steel,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,2.8%
Polymers,Glycol,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,2.3%
Polymers,Binder,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,2.1%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,1.5%
Minerals,Electronicparts,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,1.5%
Insulation,Thermal Insulation,0.0000E+00,icev,Cars,Battery,Li-Ion HEV Battery,0.4%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,27.8%
Nonferrous metals,"Aluminium, wrought alloy",0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,22.9%
Nonferrous metals,Copper,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,14.8%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,12.2%
Polymers,Ethylene Carbonate,0.0000E+00,icev,Cars,Battery,Li-Ion PHEV Battery,4.9%
