Material Group,Material,Unitmass,Vehicle,Class,Component,Part,Part%
Copper,Copper,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,3.9%
"Critical Raw Materials, CRM",Cobalt,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,1.8%
"Critical Raw Materials, CRM",Magnesium,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,1%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,0.5%
Polymers,Rubber,0.0000E+00,evan,Utilitycars,Battery,Ni-MH Battery,0.1%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,27.0%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,23.7%
Copper,Copper,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,13.2%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,12.2%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,4.5%
Polymers,Ethylene Carbonate,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,4.4%
Polymers,Dimethyl Carbonate,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,4.4%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,2.8%
Polymers,Glycol,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,2.3%
Polymers,Binder,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,2.1%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,1.5%
Minerals,Electronicparts,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,1.5%
Insulation,Thermal Insulation,0.0000E+00,evan,Utilitycars,Battery,Li-Ion HEV Battery,0.4%
"Critical Raw Materials, CRM",Limn2O4,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,27.8%
Aluminium,"Aluminium, wrought alloy",0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,22.9%
Copper,Copper,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,14.8%
"Critical Raw Materials, CRM",Graphite/Carbon,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,12.2%
Polymers,Ethylene Carbonate,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Dimethyl Carbonate,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,4.9%
Polymers,Plastic,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,4.3%
Polymers,Binder,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,2.1%
"Metals, ferrous",Steel,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,1.9%
"Critical Raw Materials, CRM",Lipf6,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,1.7%
Polymers,Glycol,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,1.3%
Minerals,Electronicparts,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,0.9%
Insulation,Thermal Insulation,0.0000E+00,evan,Utilitycars,Battery,Li-Ion PHEV Battery,0.3%
"Critical Raw Materials, CRM",Limn2O4,1.1620E-01,evan,Utilitycars,Battery,Li-Ion EV Battery,33.4%
Aluminium,"Aluminium, wrought alloy",6.6448E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,19.1%
"Critical Raw Materials, CRM",Graphite/Carbon,5.0792E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,14.6%
Copper,Copper,3.7920E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,10.9%
Polymers,Ethylene Carbonate,1.8438E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,5.3%
Polymers,Dimethyl Carbonate,1.8438E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,5.3%
Polymers,Plastic,1.1133E-02,evan,Utilitycars,Battery,Li-Ion EV Battery,3.2%
Polymers,Binder,8.6973E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,2.5%
"Critical Raw Materials, CRM",Lipf6,6.2621E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,1.8%
"Metals, ferrous",Steel,4.8705E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,1.4%
Minerals,Electronicparts,4.1747E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,1.2%
Polymers,Glycol,3.4789E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,1.0%
Insulation,Thermal Insulation,1.0437E-03,evan,Utilitycars,Battery,Li-Ion EV Battery,0.3%
