"TIME";"GEO";"VESSEL";"UNIT";"WEIGHT";"Value";"Flag and Footnotes"
"2008";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2008";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2008";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2008";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2008";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2009";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2009";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2009";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2009";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2009";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2009";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2009";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2009";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2009";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2010";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2010";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2010";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2010";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2010";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2010";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2010";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2010";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2010";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"3 000 t or over";":";""
"2011";"Netherlands";"Self-propelled barge";"Number";"Total";":";""
"2011";"Netherlands";"Self-propelled barge";"Number";"999 t or less";":";""
"2011";"Netherlands";"Self-propelled barge";"Number";"From 1 000 to 2 999 t";":";""
"2011";"Netherlands";"Self-propelled barge";"Number";"3 000 t or over";":";""
"2011";"Netherlands";"Self-propelled barge";"Thousand tonnes";"Total";":";""
"2011";"Netherlands";"Self-propelled barge";"Thousand tonnes";"999 t or less";":";""
"2011";"Netherlands";"Self-propelled barge";"Thousand tonnes";"From 1 000 to 2 999 t";":";""
"2011";"Netherlands";"Self-propelled barge";"Thousand tonnes";"3 000 t or over";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Number";"Total";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Number";"999 t or less";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Number";"From 1 000 to 2 999 t";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Number";"3 000 t or over";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"Total";":";""
"2011";"Netherlands";"Dumb and pushed vessel";"Thousand tonnes";"999 t or less";":";""
