"Perioden";"Brandstofsoort";"Bouwjaarklasse";"Onderwerp";"";""
"2007";"Elektriciteit";"Bouwjaar 2012";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2012";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2012";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2012";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2012";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2011";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2011";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2011";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2011";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2011";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2010";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2010";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2010";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2010";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2010";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2009";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2009";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2009";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2009";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2009";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2008";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2008";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2008";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2008";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2008";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2007";"Voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2007";"Snorfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2007";"Bromfiets";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2007";"Brommobiel";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2007";"Overige voertuigen met bromfietskenteken";"aantal";""
"2007";"Elektriciteit";"Bouwjaar 2006";"Voertuigen met bromfietskenteken";"aantal";"389"
"2007";"Elektriciteit";"Bouwjaar 2006";"Snorfiets";"aantal";"342"
"2007";"Elektriciteit";"Bouwjaar 2006";"Bromfiets";"aantal";"11"
"2007";"Elektriciteit";"Bouwjaar 2006";"Brommobiel";"aantal";"0"
"2007";"Elektriciteit";"Bouwjaar 2006";"Overige voertuigen met bromfietskenteken";"aantal";"36"
"2007";"Elektriciteit";"Bouwjaren tot en met 2005";"Voertuigen met bromfietskenteken";"aantal";"2097"
"2007";"Elektriciteit";"Bouwjaren tot en met 2005";"Snorfiets";"aantal";"1900"
"2007";"Elektriciteit";"Bouwjaren tot en met 2005";"Bromfiets";"aantal";"165"
"2007";"Elektriciteit";"Bouwjaren tot en met 2005";"Brommobiel";"aantal";"0"
"2007";"Elektriciteit";"Bouwjaren tot en met 2005";"Overige voertuigen met bromfietskenteken";"aantal";"32"
"2008";"Totaal";"Totaal alle bouwjaren";"Voertuigen met bromfietskenteken";"aantal";"786408"
"2008";"Totaal";"Totaal alle bouwjaren";"Snorfiets";"aantal";"339941"
"2008";"Totaal";"Totaal alle bouwjaren";"Bromfiets";"aantal";"423189"
"2008";"Totaal";"Totaal alle bouwjaren";"Brommobiel";"aantal";"17513"
"2008";"Totaal";"Totaal alle bouwjaren";"Overige voertuigen met bromfietskenteken";"aantal";"5765"
"2008";"Totaal";"Bouwjaar 2018";"Voertuigen met bromfietskenteken";"aantal";""
"2008";"Totaal";"Bouwjaar 2018";"Snorfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2018";"Bromfiets";"aantal";""
"2008";"Totaal";"Bouwjaar 2018";"Brommobiel";"aantal";""
