"Onderwerp";"Voertuigtype";"Perioden";"Eenheid";"Waarde"
"Diesel";"Speciaal voertuig";"2007";"aantal";"53162"
"Diesel";"Speciaal voertuig";"2008";"aantal";"55865"
"Diesel";"Speciaal voertuig";"2009";"aantal";"58903"
"Diesel";"Speciaal voertuig";"2010";"aantal";"60009"
"Diesel";"Speciaal voertuig";"2011";"aantal";"59578"
"Diesel";"Speciaal voertuig";"2012";"aantal";"59047"
"Diesel";"Speciaal voertuig";"2013";"aantal";"58359"
"Diesel";"Speciaal voertuig";"2014";"aantal";"57540"
"Diesel";"Speciaal voertuig";"2015";"aantal";"56453"
"Diesel";"Speciaal voertuig";"2016";"aantal";"55786"
"Diesel";"Speciaal voertuig";"2017";"aantal";"55449"
"Diesel";"Speciaal voertuig";"2018";"aantal";"54903"
"Diesel";"Speciaal voertuig";"2019";"aantal";"54660"
"Diesel";"Bus";"2000";"aantal";"10974"
"Diesel";"Bus";"2001";"aantal";"11112"
"Diesel";"Bus";"2002";"aantal";"11085"
"Diesel";"Bus";"2003";"aantal";"11153"
"Diesel";"Bus";"2004";"aantal";"11128"
"Diesel";"Bus";"2005";"aantal";"11024"
"Diesel";"Bus";"2006";"aantal";"10754"
"Diesel";"Bus";"2007";"aantal";"10545"
"Diesel";"Bus";"2008";"aantal";"10800"
"Diesel";"Bus";"2009";"aantal";"11027"
