"TIME";"REP_MAR";"VESSEL";"UNIT";"Value";"Flag and Footnotes"
"2001";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-52.5";""
"2001";"Netherlands";"Fishing vessel";"Growth rate on previous period (t/t-1) for number of vessels";"-31.5";""
"2001";"Netherlands";"Offshore activities vessel";"Number";"2 013";""
"2001";"Netherlands";"Offshore activities vessel";"Gross tonnage (GT) in thousand";"3 344";""
"2001";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-10.1";""
"2001";"Netherlands";"Offshore activities vessel";"Growth rate on previous period (t/t-1) for number of vessels";"4.7";""
"2001";"Netherlands";"Tug and pusher craft";"Number";"517";""
"2001";"Netherlands";"Tug and pusher craft";"Gross tonnage (GT) in thousand";"478";""
"2001";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"14.9";""
"2001";"Netherlands";"Tug and pusher craft";"Growth rate on previous period (t/t-1) for number of vessels";"8.2";""
"2001";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Number";"1 435";""
"2001";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Gross tonnage (GT) in thousand";"5 149";""
"2001";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"2.1";""
"2001";"Netherlands";"Other type of vessel (dredger; research vessel; other)";"Growth rate on previous period (t/t-1) for number of vessels";"10.5";""
"2001";"Netherlands";"Unknown";"Number";":";""
"2001";"Netherlands";"Unknown";"Gross tonnage (GT) in thousand";":";""
"2001";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";":";""
"2001";"Netherlands";"Unknown";"Growth rate on previous period (t/t-1) for number of vessels";":";""
"2002";"Netherlands";"Total";"Number";"45 839";""
"2002";"Netherlands";"Total";"Gross tonnage (GT) in thousand";"639 243";""
"2002";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"3.0";""
"2002";"Netherlands";"Total";"Growth rate on previous period (t/t-1) for number of vessels";"-0.2";""
"2002";"Netherlands";"Liquid bulk tanker";"Number";"9 728";""
"2002";"Netherlands";"Liquid bulk tanker";"Gross tonnage (GT) in thousand";"133 909";""
"2002";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"6.0";""
"2002";"Netherlands";"Liquid bulk tanker";"Growth rate on previous period (t/t-1) for number of vessels";"2.2";""
"2002";"Netherlands";"Dry bulk carrier";"Number";"2 601";""
"2002";"Netherlands";"Dry bulk carrier";"Gross tonnage (GT) in thousand";"99 916";""
"2002";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"0.2";""
"2002";"Netherlands";"Dry bulk carrier";"Growth rate on previous period (t/t-1) for number of vessels";"-1.3";""
"2002";"Netherlands";"Container ship";"Number";"5 456";""
"2002";"Netherlands";"Container ship";"Gross tonnage (GT) in thousand";"173 685";""
"2002";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"8.7";""
"2002";"Netherlands";"Container ship";"Growth rate on previous period (t/t-1) for number of vessels";"9.1";""
"2002";"Netherlands";"Specialised carrier";"Number";"131";""
"2002";"Netherlands";"Specialised carrier";"Gross tonnage (GT) in thousand";"1 389";""
"2002";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for gross tonnage of vessels";"-9.4";""
"2002";"Netherlands";"Specialised carrier";"Growth rate on previous period (t/t-1) for number of vessels";"10.1";""
