"Perioden";"Voertuigtype";"Onderwerp";"";""
"2000";"Trekker voor oplegger";"11 500 - 11 999 kg";"aantal";"68"
"2000";"Trekker voor oplegger";"12 000 - 12 499 kg";"aantal";"57"
"2000";"Trekker voor oplegger";"12 500 - 12 999 kg";"aantal";"48"
"2000";"Trekker voor oplegger";"13 000 - 13 499 kg";"aantal";"44"
"2000";"Trekker voor oplegger";"13 500 - 13 999 kg";"aantal";"33"
"2000";"Trekker voor oplegger";"14 000 - 14 499 kg";"aantal";"16"
"2000";"Trekker voor oplegger";"14 500 - 14 999 kg";"aantal";"13"
"2000";"Trekker voor oplegger";"15 000 - 15 499 kg";"aantal";"16"
"2000";"Trekker voor oplegger";"15 500 - 15 999 kg";"aantal";"9"
"2000";"Trekker voor oplegger";"16 000 - 19 999 kg";"aantal";"89"
"2000";"Trekker voor oplegger";"20 000 - 24 999 kg";"aantal";"19"
"2000";"Trekker voor oplegger";"25 000 - 29 999 kg";"aantal";"4"
"2000";"Trekker voor oplegger";"30 000 kg en meer";"aantal";"5"
"2000";"Trekker voor oplegger";"Leeggewicht onbekend";"aantal";"4"
"2000";"Speciaal voertuig";"||Totaal";"aantal";"36374"
"2000";"Speciaal voertuig";"Benzine";"aantal";"4136"
"2000";"Speciaal voertuig";"Diesel";"aantal";"31225"
"2000";"Speciaal voertuig";"LPG";"aantal";"1006"
"2000";"Speciaal voertuig";"Elektriciteit";"aantal";"0"
"2000";"Speciaal voertuig";"CNG";"aantal";"7"
"2000";"Speciaal voertuig";"Geen/overige/onbekende brandstof";"aantal";"0"
"2000";"Speciaal voertuig";"||Totaal";"aantal";"36374"
"2000";"Speciaal voertuig";"< 500 kg";"aantal";"0"
"2000";"Speciaal voertuig";"500 - 999 kg";"aantal";"984"
"2000";"Speciaal voertuig";"1000 - 1499 kg";"aantal";"896"
"2000";"Speciaal voertuig";"1500 - 1999 kg";"aantal";"4044"
"2000";"Speciaal voertuig";"2000 - 2499 kg";"aantal";"7936"
"2000";"Speciaal voertuig";"2500 - 2999 kg";"aantal";"4933"
"2000";"Speciaal voertuig";"3000 - 3499 kg";"aantal";"2074"
"2000";"Speciaal voertuig";"3500 - 3999 kg";"aantal";"975"
"2000";"Speciaal voertuig";"4000 - 4499 kg";"aantal";"1078"
"2000";"Speciaal voertuig";"4500 - 4999 kg";"aantal";"831"
"2000";"Speciaal voertuig";"5000 - 5499 kg";"aantal";"643"
"2000";"Speciaal voertuig";"5500 - 5999 kg";"aantal";"600"
"2000";"Speciaal voertuig";"6000 - 6499 kg";"aantal";"573"
"2000";"Speciaal voertuig";"6500 - 6999 kg";"aantal";"553"
"2000";"Speciaal voertuig";"7000 - 7499 kg";"aantal";"505"
"2000";"Speciaal voertuig";"7500 - 7999 kg";"aantal";"454"
"2000";"Speciaal voertuig";"8000 - 8499 kg";"aantal";"547"
"2000";"Speciaal voertuig";"8500 - 8999 kg";"aantal";"498"
"2000";"Speciaal voertuig";"9000 - 9499 kg";"aantal";"463"
"2000";"Speciaal voertuig";"9500 - 9999 kg";"aantal";"434"
"2000";"Speciaal voertuig";"10 000 - 10 499 kg";"aantal";"469"
"2000";"Speciaal voertuig";"10 500 - 10 999 kg";"aantal";"478"
"2000";"Speciaal voertuig";"11 000 - 11 499 kg";"aantal";"358"
"2000";"Speciaal voertuig";"11 500 - 11 999 kg";"aantal";"299"
"2000";"Speciaal voertuig";"12 000 - 12 499 kg";"aantal";"544"
"2000";"Speciaal voertuig";"12 500 - 12 999 kg";"aantal";"583"
"2000";"Speciaal voertuig";"13 000 - 13 499 kg";"aantal";"648"
"2000";"Speciaal voertuig";"13 500 - 13 999 kg";"aantal";"445"
"2000";"Speciaal voertuig";"14 000 - 14 499 kg";"aantal";"245"
"2000";"Speciaal voertuig";"14 500 - 14 999 kg";"aantal";"238"
"2000";"Speciaal voertuig";"15 000 - 15 499 kg";"aantal";"153"
"2000";"Speciaal voertuig";"15 500 - 15 999 kg";"aantal";"109"
"2000";"Speciaal voertuig";"16 000 - 19 999 kg";"aantal";"351"
"2000";"Speciaal voertuig";"20 000 - 24 999 kg";"aantal";"845"
"2000";"Speciaal voertuig";"25 000 - 29 999 kg";"aantal";"65"
"2000";"Speciaal voertuig";"30 000 kg en meer";"aantal";"1515"
"2000";"Speciaal voertuig";"Leeggewicht onbekend";"aantal";"8"
